Date,Open,High,Low,Close,Adj Close,Volume
2003-04-28,35.480000,36.090000,35.480000,36.040001,18.826160,12745600
2003-05-05,36.150002,36.209999,35.060001,35.470001,18.528412,54757400
2003-05-12,35.369999,35.660000,35.080002,35.450001,18.649897,53992200
2003-05-19,35.169998,36.310001,35.020000,35.980000,18.928722,55652800
2003-05-26,35.799999,36.770000,35.750000,36.400002,19.149689,51001100
2003-06-02,36.529999,37.709999,36.360001,37.340000,19.644199,58467300
2003-06-09,37.259998,38.450001,37.209999,37.930000,19.954594,49990300
2003-06-16,37.930000,38.310001,36.790001,36.889999,19.407463,69600900
2003-06-23,36.830002,37.220001,36.209999,36.369999,19.133896,52389500
2003-06-30,36.430000,36.610001,35.549999,36.060001,18.970804,44776700
2003-07-07,36.099998,36.400002,35.310001,35.599998,18.728811,59737100
2003-07-14,35.619999,35.889999,34.900002,35.880001,18.876108,63790800
2003-07-21,35.799999,35.930000,35.169998,35.759998,18.812988,49042300
2003-07-28,35.700001,36.180000,35.209999,35.330002,18.586763,70777000
2003-08-04,35.500000,36.610001,35.119999,36.520000,19.212811,65115900
2003-08-11,36.500000,36.950001,35.580002,36.830002,19.375902,41487800
2003-08-18,36.860001,37.250000,36.450001,36.529999,19.350534,43859100
2003-08-25,36.349998,37.740002,36.320000,37.700001,19.970304,48662800
2003-09-01,37.790001,38.250000,37.500000,37.970001,20.113331,41403700
2003-09-08,38.099998,38.500000,37.570000,37.730000,19.986198,48758700
2003-09-15,37.700001,37.770000,36.750000,36.990002,19.594204,59566400
2003-09-22,36.650002,37.490002,36.349998,36.779999,19.482965,53719100
2003-09-29,36.779999,38.230000,36.410000,37.750000,19.996799,54476400
2003-10-06,37.860001,38.430000,37.740002,38.299999,20.288139,43917100
2003-10-13,38.369999,38.930000,38.200001,38.660000,20.478840,44137400
2003-10-20,38.660000,38.790001,36.950001,37.849998,20.049757,62461600
2003-10-27,37.810001,38.150002,36.119999,36.580002,19.377024,71734700
2003-11-03,36.919998,36.990002,35.490002,35.560001,18.836714,65420700
2003-11-10,35.560001,36.470001,35.400002,36.000000,19.203432,56966000
2003-11-17,35.520000,36.299999,35.049999,35.340000,18.851364,63853500
2003-11-24,35.480000,36.430000,35.400002,36.200001,19.310125,38242100
2003-12-01,36.500000,37.130001,36.220001,36.779999,19.619509,69294300
2003-12-08,36.900002,38.119999,36.860001,38.060001,20.302311,54272700
2003-12-15,37.910000,39.660000,37.599998,39.599998,21.123783,69760200
2003-12-22,39.349998,40.139999,39.200001,40.049999,21.363829,30952700
2003-12-29,40.099998,41.220001,40.090000,40.630001,21.673220,45898000
2004-01-05,41.099998,41.630001,40.020000,40.290001,21.491844,71028500
2004-01-12,40.700001,40.980000,40.080002,40.500000,21.603872,51788500
2004-01-19,40.500000,41.500000,40.500000,41.040001,21.891922,43463500
