Date,Open,High,Low,Close,Adj Close,Volume
2003-04-28,55.150002,56.410000,55.139999,56.150002,37.663200,7184600
2003-05-05,56.150002,56.240002,54.450001,55.799999,37.428436,38747000
2003-05-12,55.709999,56.950001,52.919998,52.919998,35.496632,50904900
2003-05-19,52.639999,53.500000,52.000000,52.000000,34.879551,39737400
2003-05-26,52.000000,53.939999,51.630001,52.610001,35.288696,46079600
2003-06-02,52.959999,55.310001,52.119999,53.619999,35.966156,46054700
2003-06-09,53.950001,55.590000,53.490002,54.080002,36.274734,38842600
2003-06-16,54.470001,55.380001,53.799999,54.259998,36.395458,40234100
2003-06-23,54.049999,55.360001,52.669998,53.799999,36.145992,33594200
2003-06-30,54.000000,56.150002,53.000000,54.959999,36.925346,30249300
2003-07-07,55.599998,57.020000,54.720001,56.529999,37.980148,39898900
2003-07-14,57.299999,57.700001,55.709999,57.000000,38.295933,36193200
2003-07-21,56.849998,57.119999,55.000000,56.189999,37.751724,31528500
2003-07-28,56.189999,57.250000,55.200001,55.270000,37.133621,34388100
2003-08-04,54.779999,57.790001,54.779999,57.770000,38.813274,40373600
2003-08-11,57.880001,58.799999,57.279999,58.099998,39.034988,33234600
2003-08-18,58.500000,59.480000,58.380001,58.400002,39.236538,28923400
2003-08-25,58.400002,59.450001,58.330002,59.169998,39.753872,27764300
2003-09-01,58.959999,60.200001,58.500000,58.889999,39.565746,34861700
2003-09-08,58.549999,58.639999,56.560001,57.480000,38.618427,45878800
2003-09-15,57.500000,58.520000,57.500000,58.139999,39.061871,34915500
2003-09-22,57.689999,57.910000,56.549999,56.799999,38.161552,37950700
2003-09-29,57.270000,58.220001,55.799999,57.480000,38.618427,48248200
2003-10-06,57.570000,59.410000,57.490002,58.419998,39.311981,29791400
2003-10-13,58.430000,59.639999,58.430000,58.840000,39.594597,30607500
2003-10-20,59.000000,59.470001,57.000000,58.110001,39.103378,32526100
2003-10-27,58.110001,59.180000,57.750000,58.950001,39.668621,32461400
2003-11-03,58.770000,59.930000,57.750000,58.419998,39.311981,35714500
2003-11-10,58.349998,58.470001,54.500000,55.000000,37.010593,63294100
2003-11-17,55.000000,55.590000,54.360001,54.810001,36.882740,44961100
2003-11-24,55.150002,56.259998,55.099998,55.639999,37.441265,28415000
2003-12-01,55.639999,55.660000,52.139999,53.480000,35.987759,90246900
2003-12-08,53.480000,53.599998,52.009998,52.500000,35.328285,53331200
2003-12-15,53.070000,53.209999,50.500000,52.349998,35.227348,87659500
2003-12-22,52.099998,53.320000,52.080002,52.520000,35.403755,28088000
2003-12-29,52.680000,53.400002,52.130001,52.299999,35.255440,29533900
2004-01-05,52.799999,54.330002,51.580002,52.400002,35.322865,63509900
2004-01-12,52.599998,53.750000,52.099998,53.480000,36.050884,45086800
2004-01-19,53.279999,54.439999,52.770000,54.209999,36.542999,37258100
2004-01-26,54.220001,54.950001,53.130001,53.849998,36.300316,47015100
2004-02-02,54.200001,57.590000,54.150002,57.580002,38.814716,59370400
2004-02-09,57.049999,58.299999,56.189999,56.320000,37.965328,43332100
2004-02-16,57.380001,59.549999,56.480000,59.430000,40.061794,53142500
2004-02-23,59.439999,60.150002,59.130001,59.560001,40.149410,69574200
2004-03-01,59.669998,61.310001,59.470001,60.240002,40.607815,52607000
2004-03-08,60.049999,60.980000,57.599998,58.480000,39.421391,55721100
2004-03-15,58.049999,59.189999,57.270000,58.599998,39.502289,44802600
